Topic,Count,Name,Representation,Representative_Docs
302,50,302_blame_blames_scapegoat_president,"['blame', 'blames', 'scapegoat', 'president', 'trump', 'fault', 'donald', 'shoulders', 'deserve', 'squarely']","['And who does he blame? Illegal immigration.', ""he'll blame immigrants."", ""not just blame Trump's immigration policy,""]"
303,138,303_dream_american_emigrated_son,"['dream', 'american', 'emigrated', 'son', 'dictatorship', 'leonhart', 'decimation', 'kids', 'america', 'living']","['These migrants who are trying to come here understand what the American Dream is. Their country is not nice.', ""You know, and I say this to all illegal immigrants, don't ask for the American dream of you're not willing to debate the American laws and embrace the American culture because I did."", ""You know, and I say this to all the illegal immigrants. Don't ask for an American dream.""]"
304,56,304_aoc_crying_incredibly_district,"['aoc', 'crying', 'incredibly', 'district', 'curled', 'fetal', 'dressed', 'she', 'aocs', 'dissolution']","[""Is AOC now saying that immigrants are a danger immigrants are a burden which in the Trump years she called the racist trope so anyway if you're wondering why AOC hasn't in the border it's because she's too busy on the front lines at the Roosevelt Hotel in New York."", ""be an ad against her by someone like AOC that can say, you know, she's tough on immigrants. She's mean."", ""But AOC's district is heavily illegal immigrant as well.""]"
305,223,305_undocumented_unchecked_enforceable_visitor,"['undocumented', 'unchecked', 'enforceable', 'visitor', 'quadrupled', 'arrivals', 'murphy', 'immigrants', 'undetected', 'chris']","['undocumented', 'undocumented.', 'undocumented']"
306,59,306_newsom_gavin_california_governor,"['newsom', 'gavin', 'california', 'governor', 'taxpayer', 'legislature', 'hannity', 'state', 'restraining', '500']","['That is the new game plan ahead of the midterm election for many Democrats, including a guy that wants to run for president of the United States of America, Gavin Newsom out in California. Gavin Newsom is now ensuring that illegal immigrants who have aged out, quote, of eligibility to see no disruption in health care coverage that you as an American taxpayer will pay for.', 'And then the other area where I thought was really interesting on immigration, Gavin Newsom seems to hold all these different positions. Everything with Gavin Newsom is an opportunity to be sanctimonious and then to be disingenuous.', 'We talked about this yesterday that Gavin Newsom or was it the day before? Gavin Newsom in California, it wants to give people earning, I think, less than seventy five thousand dollars a year, plus undocumented families.']"
307,106,307_story_stories_tell_immigrant,"['story', 'stories', 'tell', 'immigrant', 'success', 'ourselves', 'amazing', 'touches', 'folks', 'moments']","['had the most amazing story. It was the immigrant story of', ""We are a country in which there's not just one immigrant story. There are many immigrant stories. And one immigrant story is the story of folks who come to the country with limited skills and social networks who have a lot of obstacles in their way."", ""it is an immigrant story. I'm an immigrant.""]"
308,216,308_wrong_simple_plain_nothing,"['wrong', 'simple', 'plain', 'nothing', 'think', 'right', 'gone', 'than', 'way', 'don']","[""They're wrong on immigration and they're wrong on the wall."", 'if we say illegal immigration is wrong,', 'Is illegal immigration wrong?']"
309,59,309_obrador_lopez_manuel_andres,"['obrador', 'lopez', 'manuel', 'andres', 'amlo', 'mexico', 'president', 'guatemala', 'gia', 'mattia']","[""Now, AMLO has actually said AMLO, the president of Mexico has said, Andres Manuel Lopez Obrador, he has said, actually, sure, I'll work with the Biden amendment when the big Senate deal came out. Or he said, I'll take migrants, but you have to give me something in exchange. And what he wanted in exchange was far beyond what the United States is willing to give."", ""Now, AMLO has actually said, AMLO, the president of Mexico, has said, Andres Manuel Lopez Obrador, he has said, actually, sure, I'll work with the Biden amendment when the big Senate deal came out. Or he said, I'll take migrants, but you have to give me something in exchange. And what he wanted in exchange was far beyond what the United States is willing to give."", 'Mexico President Andres Manuel Lopez Obrador said Tuesday the government is trying to protect the migrants from harm']"
310,59,310_nigerian_nigeria_household_reparations,"['nigerian', 'nigeria', 'household', 'reparations', 'successful', 'average', 'born', 'supremacist', 'united', 'income']","['Americans born in this country Nigerian immigrants.', ""And in fact, Nigerian Americans, they're about a half a million of them in the United States. Nigerian immigrants, the United States"", ""people talk about why is it that Nigerian migrants into the United States do so well? Well, it's because they were the wealthy in Nigeria.""]"
311,86,311_patrol_agents_bandit_smugglers,"['patrol', 'agents', 'bandit', 'smugglers', 'border', 'group', 'surrendered', 'apprehend', 'cbp', 'processing']","['Now, why did they do that? CBP says some of these migrants attacked the border patrol agents.', 'Now, why did they do that? CBP says some of these migrants attacked the border patrol agents.', ""The Post did not specify the terrorist groups that the migrants might be affiliated with. These migrants were part of a larger group that recently surrendered to border agents in the San Diego sector. Currently, these individuals are under investigation by Immigration and Customs Enforcement, or ICE, and the FBI's Joint Terrorism Task Force.""]"
312,66,312_notably_reacting_logic_louder,"['notably', 'reacting', 'logic', 'louder', 'disproportionately', 'confuse', 'sneaky', 'applying', 'irrespective', 'voice']","['illegal immigration notably,', 'illegal immigration, notably,', 'illegal immigration, notably,']"
313,124,313_wire_razor_texas_installed,"['wire', 'razor', 'texas', 'installed', 'barbed', 'river', 'cut', 'agents', 'fencing', 'court']","['by the Biden administration are actually cutting down the razor wire put down by the state of Texas to let the illegal immigrants in.', 'for the National Guard to put up razor wire, to install razor wire on the border to stop this influx of migration. Why would the federal government have a problem with that?', ""Razor wire didn't keep migrants from entering Texas. The wire had stopped migrants from claiming asylum. Razor wire kept migrants from entering Texas illegally.""]"
314,302,314_open_borders_wide_arms,"['open', 'borders', 'wide', 'arms', 'door', 'bernie', 'mass', 'why', 'sanders', 'believe']","[""Other people talk about this. They're the ones that don't like the immigration policy. Don't have open borders like this."", ""Obama wants open borders. So why don't you just take all the criminal migrants"", ""I believe the U .S. should open its borders, not open borders, but should open its borders to legal, controlled migration to every single person for application. Here's what I'm trying to say.""]"
315,79,315_review_criticize_national_criticism,"['review', 'criticize', 'national', 'criticism', 'squishier', 'enos', 'regimes', 'cantor', 'criticizing', 'socialist']","['think immigration was a real issue for a lot of people and as you know we were once long long long ago colleagues at national review national review is one of these places that takes immigration very seriously', ""Immigrants in particular you can criticize the immigration system. You can criticize joe biden's Rejection of and neglect for the the enforcement of american border law and immigration law I do and I think we all should but at the same time the people who come here From places like venezuela where they're fleeing socialist regimes, you know, you know, there's a big population there It's very diverse But the republican party should be friendly to people who are fleeing socialist regimes and trying to seek a better life for their families In free market economies, that's where that's where their heart is And I think if you were to appeal to that in deep in the dana of a republican voter They would respond to"", ""Immigrants in particular you can criticize the immigration system. You can criticize joe biden's Rejection of and neglect for the the enforcement of american border law and immigration law I do and I think we all should but at the same time the people who come here From places like venezuela where they're fleeing socialist regimes, you know, you know, there's a big population there It's very diverse But the republican party should be friendly to people who are fleeing socialist regimes and trying to seek a better life for their families In free market economies, that's where that's where their heart is And I think if you were to appeal to that in deep in the dana of a republican voter They would respond to""]"
316,47,316_bangladesh_rohingya_myanmar_burma,"['bangladesh', 'rohingya', 'myanmar', 'burma', 'india', 'pakistan', 'camps', 'refugee', 'refugees', 'burned']","[""A refugee camp in Bangladesh for the Rohingya, a Muslim ethnic minority group that was terrorized and driven out of Myanmar, estimates of up to 700 ,000 people. This refugee camp where they've all been living temporarily now for years in Bangladesh, basically burned to the ground this week. Dozens are dead, hundreds are missing."", ""The first is just horrible. A refugee camp in Bangladesh for the Rohingya, a Muslim ethnic minority group that was terrorized and driven out of Myanmar, estimates of up to 700 ,000 people. This refugee camp where they've all been living temporarily now for years in Bangladesh, basically burned to the ground this week."", 'Rohingya refugee camps in Bangladesh.']"
317,143,317_date_court_appear_removal,"['date', 'court', 'appear', 'removal', 'notice', 'released', 'judge', 'expedited', 'dates', 'show']","['a migrant comes and gets across illegally, and then is released, with a notice to appear at a court hearing 10 years from now, or three years, whatever,', 'appear at an immigration court.', ""this immigration court on this date. If you don't show""]"
318,63,318_stimulus_checks_payments_background,"['stimulus', 'checks', 'payments', 'background', 'eligible', 'cash', 'relief', 'receive', 'package', 'backs']","['you give stimulus money to any illegal immigrant,', 'stimulus money to illegal immigrants,', 'Stimulus checks for illegal immigrants,']"
319,67,319_ellis_island_museum_tenement,"['ellis', 'island', 'museum', 'tenement', 'document', 'stack', 'scan', 'aunt', 'uncle', 'transatlantic']","['Historically, Ellis Island was actually a place where immigrants could be rejected on the spot after a weeks -long transatlantic journey. You got about two percent of all new immigrants at Ellis Island were for medical or mental health reasons told to go back on the boat and go home. So people were turned away even at Ellis Island.', ""Historically, Ellis Island was actually a place where immigrants could be rejected on the spot after a weeks long transatlantic journey. You've got about 2 % of all new immigrants at Ellis Island were, for medical or mental health reasons, told to go back on the boat and go home. So people were turned away even at Ellis Island."", 'immigrants coming in through Ellis Island']"
320,41,320_loosen_policies_rudd_loosening,"['loosen', 'policies', 'rudd', 'loosening', 'ministers', 'iteration', 'apology', 'rescinded', 'reinstate', 'mothers']","['loosen the immigration policies', 'loosen the immigration policies', 'loosen the immigration policies']"
321,77,321_test_testing_tested_tests,"['test', 'testing', 'tested', 'tests', 'dna', 'sample', 'ideological', 'sobriety', 'eyeglasses', 'quarantine']","[""We do this. And our immigration test is a joke. Like when I was looking at the sample questions, me and my husband were comparing our country's immigration test, the sample questions."", ""of illegal immigrants into America. We won't test any of them."", ""Now, all those illegal immigrants come across the border. We don't test them.""]"
322,105,322_debt_ceiling_trillion_student,"['debt', 'ceiling', 'trillion', 'student', 'skyrocketed', 'shared', 'national', 'spending', 'dollars', 'deficit']","[""If you were president United States, the debt ceiling needed to be raised. Democrats came to you and said, we'll raise the debt ceiling in exchange for discussions about immigration and about police reform. Would you negotiate to raise the debt ceiling?"", ""Now there's another aspect of this national debt conversation and it directly is tied to illegal immigration. The question that many of you should be asking as you're seeing our debt skyrocket is well okay what is the one thing over the last three years that has also skyrocketed skyrocketed with our national debt and that would be the immigrants that are coming into this country. The question that many have been asking is well what is the cost of illegal immigration to taxpayers?"", ""Now there's another aspect of this national debt conversation and it directly is tied to illegal immigration. The question that many of you should be asking as you're seeing our debt skyrocket is well okay what is the one thing over the last three years that has also skyrocketed skyrocketed with our national debt and that would be the immigrants that are coming into this country.""]"
323,52,323_dispute_tennis_djokovic_novak,"['dispute', 'tennis', 'djokovic', 'novak', 'unvaccinated', 'players', 'player', 'australian', 'jokovic', 'rackets']","['Is it immigration dispute? Immigration dispute. I guess immigration dispute would be wrong.', ""Buck, best tennis player in the world Novak Jokovic is currently embroiled in a customs dispute as he attempts, I guess it'll be a customs dispute, as he attempts to enter into Australia to play in the Australian Open. Immigration dispute or? Immigration dispute."", ""Buck, best tennis player in the world, Novak Jokovic is currently embroiled in a customs dispute as he attempts, I guess it'll be a customs dispute, as he attempts to enter into Australia to play in the Australian Open. Is it immigration dispute? Immigration dispute.""]"
324,65,324_arrested_old_charged_jocelyn,"['arrested', 'old', 'charged', 'jocelyn', 'murder', 'houston', 'venezuelan', '12', 'venezuela', 'year']","[""Now you go back to the police in Houston. They've arrested not one but two migrants from Venezuela who were here illegally for the murder of a 12 year old, a 12 year old by the name of Jocelyn who was lured away from her home and then strangled to death, raped and dumped in the bayou."", 'And this migrant charged with the murder of a 12 year old and the story behind this, this person was released into the U S just weeks ago. Police in have arrested not one, but two migrants from Venezuela for the murder of a 12 year old Jocelyn who was lured away from her home, then strangled, raped and dumped in a bayou. One of the suspects crossed the border legally less than a month before the shocking murder and was released into the U S after claiming he feared for his life if he was sent back to his home country.', 'what happened in Houston. And this migrant charged with the murder of a 12 year old and the story behind this, this person was released into the U S just weeks ago. Police in have arrested not one, but two migrants from Venezuela for the murder of a 12 year old Jocelyn who was lured away from her home, then strangled, raped and dumped in a bayou.']"
325,75,325_climate_change_justice_catastrophic,"['climate', 'change', 'justice', 'catastrophic', 'energy', 'tackle', 'issues', 'healthcare', 'accord', 'carbon']","['climate crisis at all. We are not dealing with issues like immigration at all.', 'views on everything from climate change, to immigration policy,', ""climate change and all the other things the immigration It's""]"
326,57,326_vance_ohio_baseless_haitian,"['vance', 'ohio', 'baseless', 'haitian', 'jd', 'claims', 'springfield', 'threats', 'bomb', 'running']","['Trump is running. May JD Vance continue to make baseless claims about Haitian immigrants in Ohio. This weekend, there were new bomb threats in that town.', 'Mr. Trump is running made JD Vance continue to make baseless claims about Haitian immigrants in Ohio. This weekend, there were new bomb threats in that', 'Mr. Trump is running, made JD Vance continue to make baseless claims about Haitian immigrants in Ohio. This weekend, there were new bomb threats in that town.']"
327,68,327_drowned_deaths_river_drowning,"['drowned', 'deaths', 'river', 'drowning', 'texas', 'grande', 'access', 'rio', 'park', 'agents']","['So what I can talk about with this is the White House, the charge that the White House sort of muddled together, that Texas is responsible for the deaths of the drowning deaths of those migrants. The White House released a statement basically saying that there was an emergency situation and migrants drowned.', 'Department of Homeland Security said Saturday Texas denied federal agents access to a stretch of border when they were trying to rescue three migrants who drowned. What it looks like had happened is that the migrants drowned around 8 p .m.', ""The White House, again, still not backing off, saying that there was an emergency situation, they needed access and that also migrants had drowned. But, you know, if you look at it, Texas wasn't directly responsible for the migrants drowning because they blocked anyone from getting in. Those migrants drowned long before anybody tried to go towards the Rio Grande River.""]"
328,247,328_legal_vision_immigration_increase,"['legal', 'vision', 'immigration', 'increase', 'necessary', 'come', 'arkansas', 'immigrants', 'process', 'asset']","['immigration legal.', 'legal immigration,', 'legal immigration,']"
329,149,329_means_na_shall_what,"['means', 'na', 'shall', 'what', 'blank', 'applications', 'more', 'citizenry', 'spaces', 'mali']","['It means a safe and secure border. It means zero illegal migration. It means we have safety and security.', 'It means a safe and secure border. It means zero illegal migration. It means we have safety and security.', 'It means a safe and secure border. It means zero illegal migration. It means we have safety and security.']"
330,63,330_bowser_muriel_mayor_dc,"['bowser', 'muriel', 'mayor', 'dc', 'washington', 'buses', 'guard', 'abbott', 'texas', 'lori']","[""Democrat Mayor Muriel Bowser is outraged as illegal immigrants flood homeless shelters. Texas and Arizona have been sending buses of illegal immigrants to make a statement to the federal government, and it's working. In our next story,"", 'Remember I mentioned about Mayor Muriel Bowser in Washington, D .C.? Here she is talking about these migrants, illegal immigrants that are put into Washington. Cut 15.', ""D .C. Democrat Mayor Muriel Bowser is outraged as illegal immigrants flood homeless shelters. Texas and Arizona have been sending buses of illegal immigrants to make a statement to the federal government, and it's working.""]"
331,112,331_vetting_vetted_refugee_resettlement,"['vetting', 'vetted', 'refugee', 'resettlement', 'process', 'vet', 'excel', 'extremism', 'extreme', 'terrorism']","['that talks about extreme vetting in terms of refugees, like they can even people on', ""they're serious about refugee status, vetting."", ""And I'll give you a specific example of kind of what I'm thinking about here, which is just take the word vetting, right? This was the principal argument we had around refugee resettlement in the United States in 2015 and 2016. And Obama, enabled to preserve and actually expand the refugee resettlement program in the United States, put in place this kind of extreme form of vetting for everybody who was coming through the pipeline.""]"
332,50,332_pen_le_macron_marine,"['pen', 'le', 'macron', 'marine', 'france', 'french', 'far', 'anti', 'emmanuel', 'wiped']","[""Today's uniquely important. By the end of today, France will either have re -elected the pro -European Union centrist president Emmanuel Macron, or it will have elected a new leader, the radical right -wing, anti -establishment, anti -immigrant, racist Marine Le Pen."", ""On culture, he actually moved right in an attempt to try to appease Le Pen's growing base. As Daniel points out, Macron's government justified various crackdowns on immigration under the theory it would contain the far right. Yesterday, Le Pen got the highest result for a far right candidate in round one of a presidential race ever."", ""And why are they voting Le Pen? They're voting Le Pen not so much about immigration. It's a very white town.""]"
333,137,333_support_legal_majority_supportive,"['support', 'legal', 'majority', 'supportive', 'policies', 'skilled', 'encourages', 'wanna', 'reality', 'lawful']","[""They support immigration as we all do. They just don't support illegal immigration. But we need it all."", ""support immigration. It's just that they"", ""They support immigration as we all do. They just don't support illegal immigration.""]"
334,87,334_michigan_major_state_numbers,"['michigan', 'major', 'state', 'numbers', 'polling', 'rapids', 'suggesting', 'issue', 'dive', 'underwater']","['Clay read before also the numbers out of Michigan, the polling numbers out of Michigan, suggesting that immigration is a major issue there. Illegal immigration is a major issue there.', 'You know, Clay read before also the numbers out Michigan, the polling numbers out of Michigan suggesting that immigration is a major issue there. Illegal immigration is a major issue there.', 'You know, Clay read before also the numbers out of Michigan, the polling numbers out of Michigan, suggesting that immigration is a major issue there. Illegal immigration is a major issue there.']"
335,136,335_unquote_quote_end_alejandra,"['unquote', 'quote', 'end', 'alejandra', 'enforced', 'unclear', 'invading', 'self', 'among', 'essayist']","[""decade plus something of a conservative consensus about legal immigration, that that legal immigration from the quote unquote right places was a good thing, that it was helpful to America's bottom line, that corporate leaders are out saying, yes, we need strong immigration of the right types of quote unquote high skilled workers from the right places."", ""quote unquote illegal aliens. Vance even saying, you know, I don't care what their status is."", 'illegal quote unquote, you know, immigrants undocumented immigrants is what I should say are coming']"
336,103,336_pennsylvania_erie_election_swing,"['pennsylvania', 'erie', 'election', 'swing', 'pollsters', 'charleroi', '150', 'county', 'flying', 'wisconsin']","[""You know, voters tell pollsters all over the country and here in Pennsylvania that immigration is one of the key issues that they're looking at this election and specifically the influx of illegal immigrants from more than 150 countries."", ""You know, voters tell pollsters all over the country and here in Pennsylvania that immigration is one of the key issues that they're looking at this election. And specifically the influx of illegal immigrants from more than 150 countries."", ""You know, voters tell pollsters all over the country and here in Pennsylvania that immigration is one of the key issues that they're looking at this election and specifically the influx of illegal immigrants from more than 150 countries.""]"
337,74,337_shaping_briefs_morning_america,"['shaping', 'briefs', 'morning', 'america', 'world', 'first', 'got', 'updates', 'four', 'update']","[""I've got four briefs for you this morning that are shaping America and the world. First up, California Democrats are joining Kamala Harris in trying to help illegal aliens to buy homes in America. We will talk about that plan coming up."", ""I've got four briefs for you this morning that are shaping America and the world. First up, A flood of Chinese illegals came over the border this weekend into California, but they did not stop there. I'll tell you where they went."", ""I've got five briefs for you this morning that are shaping America and the world. First up, 17 million illegal migrants live in the United States. That is according to a new report out this morning.""]"
338,66,338_raids_mississippi_sweeping_workplace,"['raids', 'mississippi', 'sweeping', 'workplace', 'targeted', 'plants', 'conducting', 'npr', 'ice', 'giant']","[""of areas of expertise, Mark, I know your organization, the Center for Immigration Studies, looks very closely at what's going on with enforcement when it comes to immigration laws. There has been a lot of back and forth on these Immigrations and Customs Enforcement raids in Los Angeles that occurred, and one of the big fights that's broken out around this is, well, are these pretty standard raids or is this part of Trump's expansion of who can be targeted as a criminal illegal alien in the country for deportation? What have you found on that?"", ""of areas of expertise, Mark, I know your organization, the Center for Immigration Studies, looks very closely at what's going on with enforcement when it comes to immigration laws. There has been a lot of back and forth on these Immigrations and Customs Enforcement raids in Los Angeles that occurred, and one of the big fights that's broken out around this is, well, are these pretty standard raids or is this part of Trump's expansion of who can be targeted as a criminal illegal alien in the country for deportation?"", 'With a new threat of immigration raids on Sunday,']"
339,135,339_criminals_criminal_felon_treat,"['criminals', 'criminal', 'felon', 'treat', 'violent', 'locked', 'inveterately', 'correct', 'frightened', 'transition']","[""I say you are correct, good sir. They're criminal immigrants. They're criminals, criminal immigrants."", 'illegal immigrants are criminals.', ""No, we're saying the criminals are criminals. I don't care about immigrants, but if you enter the country illegally, that's a crime. You're a criminal.""]"
340,54,340_doj_spacex_poorly_victor,"['doj', 'spacex', 'poorly', 'victor', 'rolls', 'wimps', '159', 'boeing', 'lawsuits', 'filing']","[""I know you've written about this as well. He's saying there's going to be a change in policy from DOJ on enforcement priorities when it comes to immigration. What do you make of this?"", ""I mean, all of this stuff, though, the most interesting thing about the immigration legislation that they propose today is this White House knows full well that this immigration legislation will never pass Congress. They are doing things like this and this is the still and the DOJ thing obviously has legs because they can control what DOJ does in the cases they prosecute, but they are doing this stuff purely to get headlines and send a message to their base that we're with you and we're fighting for you and what you want, which is an anti -immigrant sentiment and obviously discrimination against white people and all this kind of stuff."", ""Well, I mean they can just they can seek the DOJ on, you know, and say like, you know, they've had this whole thing about like hate speech, misinformation, whatever, except that they're the ones pushing the misinformation, but that doesn't stop them from filing massive, you know, lawsuits and using the DOJ. I mean like the DOJ has, you know, been attacking SpaceX, for example, for not hiring asylum seekers, even though it is legal for SpaceX to hire anyone who's not a permanent resident of the U .S. So we're damned if we do, and damned if we""]"
341,57,341_japanese_japan_internment_1907,"['japanese', 'japan', 'internment', '1907', 'recession', 'revive', 'citizen', 'growing', 'gentleman', 'camp']","[""By 1907, he has a diplomatic quarrel because the Japanese government is very angry about anti -Japanese sentiment in California. And he works out what was called the Gentleman's Agreement, in which, in effect, we would not pass laws against the Japanese, but the Japanese government would restrict Japanese immigration."", ""Yeah, I mean, Japan does limit their immigration, I think, across the board. I mean, it's very, very hard to become a Japanese citizen if you're not Japanese."", ""I mean, it's very, very hard to become a Japanese citizen if you're not Japanese. I don't know what their specific immigration laws are, but you know, we like Japan. We kind of give it a pass on the fact that it's a pretty""]"
342,74,342_percent_percentage_century_elderly,"['percent', 'percentage', 'century', 'elderly', '20th', 'superficial', '45', 'born', '19th', '66']","[""We're 45 percent of the population is Latino. We have more immigrants. Twenty seven percent"", 'those 45 percent. Twenty five percent are immigrants like myself.', 'those 45 percent. Twenty five percent are immigrants like myself.']"
343,52,343_aclu_rights_org_fighting,"['aclu', 'rights', 'org', 'fighting', 'asylum', 'sue', 'lee', 'advocates', 'deputy', 'project']","['For more on how the ACLU is fighting for the rights of asylum seekers, go to ACLU .org.', 'For more on how the ACLU is fighting for the rights of asylum seekers, go to ACLU .org.', 'For more on how the ACLU is fighting for the rights of asylum seekers, go to ACLU .org.']"
344,115,344_diversity_lottery_visa_chain,"['diversity', 'lottery', 'visa', 'chain', 'migration', 'program', 'end', 'system', 'rid', 'trust']","[""And we've because we've spent a lot on this hour on the diversity visa lottery and the immigration impact that this may have."", 'this hour on the diversity visa lottery and immigration impact that this may', 'to end chain migration? Why not get rid of the visa diversity lottery?']"
345,75,345_populism_populist_populists_wing,"['populism', 'populist', 'populists', 'wing', 'hillary', 'clinton', 'europe', 'sort', 'economic', 'trade']","[""But then if the wrong person, if the wrong type of populist gets in power, the solutions are a disaster. So in the same way that Bernie's populism would lead him to policies on immigration and labor that I would agree"", ""populism and does sort of give rise to populism, which is immigration and migration, because there is a crisis, a sort of political debate that doesn't really seem to be permeating in Washington, but is going on in border states and in big cities. We should play this audio from Mayor Adams in New York City."", ""again, this argument with people, every president has used populism, and that's true. As a political matter, populism is always, but if you look at Reagan's populism, which was openhearted and grateful and talked and was pro -immigrant, there are different forms. Populism can take different""]"
346,95,346_latinos_harder_latino_hardest,"['latinos', 'harder', 'latino', 'hardest', 'minorities', 'pickers', 'assumed', 'cesar', 'group', 'chavez']","['Sometimes this is used as code for suppressing Latino votes without mentioning Latinos. Well, first off, you just assumed that all Latinos are illegal immigrants. And you just assumed that all illegal immigrants are Latinos.', 'immigration with the Latino population.', 'immigration with the Latino population.']"
347,169,347_men_women_immigrants_illegal,"['men', 'women', 'immigrants', 'illegal', 'color', 'disproportionately', 'divides', 'mostly', 'teacher', 'struggles']","['immigrants,', 'Immigrants,', 'immigrants,']"
348,54,348_pause_button_pressed_pin,"['pause', 'button', 'pressed', 'pin', 'beneficial', 'politicization', 'quantity', 'eventually', 'simpler', 'moat']","[""we don't have any immigration coming into the country right now. It is on a more or less full pause."", 'a five year pause, not just on illegal immigration, on legal immigration.', ""We're so overstretched now in the United States, our states and our cities can't handle the levels of illegal immigration that we have. And frankly, the level of refugees that have poured into the United States, we've got to hit a pause button for the United States. We have to hit a pause button.""]"
349,64,349_immigrant_came_an_naive,"['immigrant', 'came', 'an', 'naive', 'whenever', 'became', 'couldn', '1995', 'learn', 'flipping']","[""I'm an immigrant."", ""I'm an immigrant."", ""I'm an immigrant""]"
350,122,350_college_free_tuition_students,"['college', 'free', 'tuition', 'students', 'electoral', 'education', 'educated', 'student', 'julia', 'aid']","[""billion for two -year universal free community college including dreamers young illegals who are brought to the u .s. as children so now keep coming folks we'll even give you a free college if you are a legal immigrant that's buying votes"", 'For illegal aliens Federal student aid free community college for illegal aliens', 'now going to give free college to illegal immigrants']"
351,55,351_punish_punished_punishment_pain,"['punish', 'punished', 'punishment', 'pain', 'reporting', 'acts', 'envisited', 'immoral', 'poorest', 'brunt']","['punished. We want to see immigrants punished and the media punished and the pod save America fuckers and the cucks and right. Like', 'We only punish the poorest people, the people working the hardest, the people who bear the brunt of the pain of the immigration system who are just doing it to try to get a job. So I think as long as people are talking in a broader way about their vision for an immigration system in which all the pain is envisited on undocumented', 'We only punish the poorest and least able. We only punish the poorest people, the people working the hardest, the people who bear the brunt of the pain of the immigration system who are just doing it to try to get a job. So I think as long as people are talking in a broader way about their vision for an immigration system in which all the pain is envisited on undocumented']"
352,61,352_black_polish_47th_blacks,"['black', 'polish', '47th', 'blacks', 'africa', 'white', 'mostly', 'area', 'asia', 'neighborhood']","[""know, growing up in Chicago, you know, they're like 47th street divided the black neighborhood from the mostly white neighbor. I said mostly white cause there's a lot of, a lot of Latinos and a lot of Polish immigrants,"", 'I grew up in an area where if you crossed one Street north 47th the 46 everyone who lived there was black and south of it was largely white with some Hispanic migrants some Polish migrants', '47th was where, if you crossed it, everyone was black, and south of it, mostly white, probably like 70%, a lot of Polish immigrants, but there was some Hispanic, some Hispanic and black as well, some Asian, but mostly white, but crossing 47th Street, everybody knew that put you in a squarely 99 % black neighborhood. If you traveled eastward towards Cicero Avenue, when you crossed Cicero, you were in the Hispanic neighborhood where all the advertisements turned Spanish.']"
353,58,353_town_varying_cities_degrees,"['town', 'varying', 'cities', 'degrees', 'displayed', 'standpoint', 'firmly', 'congregates', '672', 'efficiency']","[""I don't know how to secure my building enough to keep these people away. I decided to finally sell because two locations down from our original location, our smokehouse and our honky tonk, we have this facility that assists processing all these migrants coming in. And so once they are processed, I literally see bus loads on a daily basis."", 'So, Margaret, there are a number of cities around the country that have varying degrees of cooperation with the immigration authorities. We firmly believe', 'So, Margaret, there are a number of cities around the country that have varying degrees of cooperation with the immigration authorities. We firmly believe that']"
354,97,354_incentive_incentives_structure_change,"['incentive', 'incentives', 'structure', 'change', 'system', 'proceeding', 'lawyers', 'rewarded', 'come', 'stop']","[""They could turn people away and they could deport people and they would change the incentives. And if they change the incentives, then you would have fewer illegals. But they won't."", ""but you can take away that incentive. I agree with you, but that's more even of a long term incentive structure because we got 30 million illegals in the country right now. Right."", ""but you can take away that incentive. I agree with you, but that's more even of a long term incentive structure because we got 30 million illegals in the country right now. Right.""]"
355,108,355_elites_class_working_pockets,"['elites', 'class', 'working', 'pockets', 'liberal', 'median', 'elite', 'educated', 'middle', 'routine']","[""they're living lives that are so distinct from that of the median american but even more but even more than just the median american they're living lives that are distinct from the median democrat and so as they pull farther and farther away from the ordinary ordinary people but sort of consolidate more and more power in government in academia in media and industry you just inevitably see the rise of people who look at them and say this is the source of my problems now do I think that a dei officer for a fortune 500 company who lives in san francisco and has 60 000 dollars in student loan debt but it's okay because they make 300 000 a year do I think that that person is actually responsible for the bad outcomes of a laid off iron worker in detroit no i don't but what i do think is there's been a sort of constant refusal to engage in self -criticism to recognize the difference between their lives and the lives of other people and a refusal to try to understand where conservative politics come from where nativist politics come from where anti -immigrant sentiment comes from that there's no ability to confront them meaningfully and intelligently"", ""how the elites make policies on immigration and propose certain norms for the enforcement of immigration without ever having to actually deal with the downside themselves, they get to feel like they're brave and great and fantastic. And they, they've never spent time in line at an emergency facility where there are illegal immigrants waiting in line in a long line for care that will not only be paid for by the taxpayer, but that's routine care. They're an emergency room."", ""how the elites make policies on immigration and propose certain norms for the enforcement of immigration without ever having to actually deal with the downside themselves, they get to feel like they're brave and great and fantastic. And they, they've never spent time in line at an emergency facility where there are illegal immigrants waiting in line in a long line for care that will not only be paid for by the taxpayer, but that's routine care.""]"
356,61,356_percent_70_80_population,"['percent', '70', '80', 'population', 'math', '83', '75', 'refashioning', '20', '96']","[""problem though is that less than 1 % has been a terrible blight and a vicious scourge on many US cities and stretching even beyond major urban centers. As I said, it's in 42 states, I believe, but at this point, it's in any place that has urban centers and any Latino immigrant population."", 'And if you said less than 1%, I think that would be a fair estimate. But the problem is that you can still have a massive problem even if only 1 % of the illegal alien population is importing heroin from Sinaloa in Mexico, from Nayarit, and from other parts of the Mexican highlands that can easily grow poppy,', '70 to 80 % of the overall illegal alien population of the United States.']"
